"","it","alg","init_fitness","eval","move","move_control","T","N","L","alpha","tmax"
"1",0,"hill",6903685.31518207,6903685.31518207,"reduce_max_dist","dist_exp",NA,NA,NA,NA,100
"2",1000,"hill",6903685.31518207,6903685.31518207,"neighbor","dist_exp",NA,NA,NA,NA,100
"3",2000,"tabu",6903685.31518207,6903685.31518207,"neighbor","dist_exp",NA,10,20,NA,100
"4",3000,"sann",6903685.31518207,6903685.31518207,"reduce_max_dist","dist_iden",16,NA,NA,0.99,100
"5",4000,"tabu",6903685.31518207,6903680.32940144,"neighbor","dist_exp",NA,10,4,NA,100
"6",5000,"tabu",6903680.32940144,6903680.32940144,"twoopt","dist_iden",NA,10,20,NA,100
"7",6000,"sann",6903680.32940144,6903680.32940144,"reduce_max_dist","dist_iden",1,NA,NA,0.99,100
"8",7000,"tabu",6903680.32940144,6903656.26692648,"neighbor","dist_iden",NA,10,50,NA,100
"9",8000,"tabu",6903656.26692648,6903637.57661272,"neighbor","dist_exp",NA,10,10,NA,100
"10",9000,"sann",6903637.57661272,6903467.91812447,"reduce_max_dist","dist_exp",1,NA,NA,0.66,100
"11",10000,"sann",6903467.91812448,6903467.91812448,"neighbor","dist_exp",6,NA,NA,0.66,100
"12",11000,"hill",6903467.91812448,6903437.30510944,"twoopt","dist_exp",NA,NA,NA,NA,100
"13",12000,"hill",6903437.30510944,6903437.28087801,"neighbor","dist_exp",NA,NA,NA,NA,100
"14",13000,"sann",6903437.28087801,6903437.28087801,"reduce_max_dist","dist_exp",6,NA,NA,0.85,100
"15",14000,"tabu",6903437.28087801,6903437.28087801,"neighbor","dist_iden",NA,10,50,NA,100
"16",15000,"tabu",6903437.28087801,6903437.28087801,"neighbor","dist_iden",NA,10,4,NA,100
"17",16000,"tabu",6903437.28087801,6903437.28087801,"twoopt","dist_iden",NA,10,10,NA,100
"18",17000,"tabu",6903437.28087801,6903437.28087801,"reduce_max_dist","dist_iden",NA,10,50,NA,100
"19",18000,"sann",6903437.28087801,6903437.28087801,"reduce_max_dist","dist_exp",18,NA,NA,0.55,100
"20",19000,"sann",6903437.28087801,6903437.28087801,"twoopt","dist_exp",2,NA,NA,0.55,100
"21",20000,"sann",6903437.28087801,6903437.28087801,"reduce_max_dist","dist_exp",16,NA,NA,0.85,100
"22",21000,"sann",6903437.28087801,6903437.28087801,"neighbor","dist_iden",1,NA,NA,0.66,100
"23",22000,"tabu",6903437.28087801,6903425.06283362,"neighbor","dist_exp",NA,10,4,NA,100
"24",23000,"sann",6903425.06283362,6903425.06283362,"twoopt","dist_exp",18,NA,NA,0.55,100
"25",24000,"sann",6903425.06283362,6903425.06283362,"reduce_max_dist","dist_iden",10,NA,NA,0.66,100
"26",25000,"hill",6903425.06283362,6903425.06283362,"reduce_max_dist","dist_iden",NA,NA,NA,NA,100
"27",26000,"tabu",6903425.06283362,6903406.34795453,"neighbor","dist_iden",NA,10,4,NA,100
"28",27000,"tabu",6903406.34795453,6903406.34795453,"reduce_max_dist","dist_iden",NA,10,4,NA,100
"29",28000,"tabu",6903406.34795453,6903406.34795453,"reduce_max_dist","dist_exp",NA,10,4,NA,100
"30",29000,"tabu",6903406.34795453,6903398.34998993,"neighbor","dist_exp",NA,10,50,NA,100
"31",30000,"tabu",6903398.34998993,6903398.34998993,"twoopt","dist_iden",NA,10,50,NA,100
"32",31000,"hill",6903398.34998993,6903398.34998993,"reduce_max_dist","dist_iden",NA,NA,NA,NA,100
"33",32000,"hill",6903398.34998993,6903398.34998993,"neighbor","dist_exp",NA,NA,NA,NA,100
"34",33000,"tabu",6903398.34998993,6903398.34998993,"twoopt","dist_exp",NA,10,4,NA,100
"35",34000,"tabu",6903398.34998993,6903398.34998993,"twoopt","dist_iden",NA,10,4,NA,100
"36",35000,"hill",6903398.34998993,6903398.34998993,"neighbor","dist_exp",NA,NA,NA,NA,100
"37",36000,"sann",6903398.34998993,6903398.34998993,"neighbor","dist_exp",12,NA,NA,0.95,100
"38",37000,"tabu",6903398.34998993,6903398.34998993,"reduce_max_dist","dist_exp",NA,10,50,NA,100
"39",38000,"tabu",6903398.34998993,6903395.90874076,"neighbor","dist_exp",NA,10,50,NA,100
"40",39000,"sann",6903395.90874076,6903395.90874076,"neighbor","dist_exp",2,NA,NA,0.66,100
"41",40000,"sann",6903395.90874076,6903395.90874076,"twoopt","dist_exp",8,NA,NA,0.99,100
"42",41000,"sann",6903395.90874076,6903395.90874076,"reduce_max_dist","dist_exp",10,NA,NA,0.55,100
"43",42000,"hill",6903395.90874076,6903344.60126224,"neighbor","dist_exp",NA,NA,NA,NA,100
"44",43000,"tabu",6903344.60126224,6903344.60126224,"neighbor","dist_exp",NA,10,4,NA,100
"45",44000,"tabu",6903344.60126224,6903344.60126224,"twoopt","dist_exp",NA,10,10,NA,100
"46",45000,"hill",6903344.60126224,6903307.10424,"reduce_max_dist","dist_iden",NA,NA,NA,NA,100
"47",46000,"tabu",6903307.10424,6903307.10424,"twoopt","dist_iden",NA,10,10,NA,100
"48",47000,"hill",6903307.10424,6902562.84565835,"reduce_max_dist","dist_exp",NA,NA,NA,NA,100
"49",48000,"tabu",6902562.84565835,6902562.84565835,"twoopt","dist_iden",NA,10,50,NA,100
"50",49000,"tabu",6902562.84565835,6902562.84565835,"reduce_max_dist","dist_iden",NA,10,50,NA,100
"51",50000,"tabu",6902562.84565835,6902562.84565835,"reduce_max_dist","dist_iden",NA,10,4,NA,100
"52",51000,"sann",6902562.84565835,6902562.84565835,"twoopt","dist_iden",8,NA,NA,0.55,100
"53",52000,"sann",6902562.84565835,6902562.84565835,"twoopt","dist_exp",10,NA,NA,0.66,100
"54",53000,"hill",6902562.84565835,6902562.84565835,"neighbor","dist_exp",NA,NA,NA,NA,100
"55",54000,"tabu",6902562.84565835,6902111.35134836,"reduce_max_dist","dist_exp",NA,10,10,NA,100
"56",55000,"hill",6902111.35134836,6902111.35134836,"twoopt","dist_iden",NA,NA,NA,NA,100
"57",56000,"tabu",6902111.35134836,6902086.91125004,"neighbor","dist_iden",NA,10,10,NA,100
"58",57000,"sann",6902086.91125004,6902086.91125004,"neighbor","dist_exp",1,NA,NA,0.99,100
"59",58000,"tabu",6902086.91125004,6902086.91125004,"reduce_max_dist","dist_exp",NA,10,10,NA,100
"60",59000,"tabu",6902086.91125004,6902086.91125004,"twoopt","dist_exp",NA,10,50,NA,100
"61",60000,"sann",6902086.91125004,6902086.91125004,"reduce_max_dist","dist_iden",4,NA,NA,0.66,100
"62",61000,"sann",6902086.91125004,6902047.79767664,"reduce_max_dist","dist_exp",12,NA,NA,0.99,100
"63",62000,"sann",6902047.79767664,6902047.79767664,"twoopt","dist_exp",8,NA,NA,0.66,100
"64",63000,"tabu",6902047.79767664,6901923.9325944,"reduce_max_dist","dist_iden",NA,10,50,NA,100
"65",64000,"tabu",6901923.9325944,6901923.9325944,"twoopt","dist_exp",NA,10,10,NA,100
"66",65000,"sann",6901923.9325944,6901823.59566994,"reduce_max_dist","dist_exp",12,NA,NA,0.95,100
"67",66000,"hill",6901823.59566994,6901794.51602598,"neighbor","dist_iden",NA,NA,NA,NA,100
"68",67000,"hill",6901794.51602598,6901794.51602598,"twoopt","dist_iden",NA,NA,NA,NA,100
"69",68000,"tabu",6901794.51602598,6901794.51602598,"reduce_max_dist","dist_exp",NA,10,50,NA,100
"70",69000,"hill",6901794.51602598,6901786.15500392,"neighbor","dist_exp",NA,NA,NA,NA,100
"71",70000,"tabu",6901786.15500392,6901786.15500392,"reduce_max_dist","dist_iden",NA,10,10,NA,100
"72",71000,"tabu",6901786.15500392,6901786.15500392,"reduce_max_dist","dist_exp",NA,10,50,NA,100
"73",72000,"sann",6901786.15500392,6901786.15500392,"neighbor","dist_iden",12,NA,NA,0.66,100
"74",73000,"sann",6901786.15500392,6901786.15500392,"reduce_max_dist","dist_iden",12,NA,NA,0.99,100
"75",74000,"hill",6901786.15500392,6901786.15500392,"reduce_max_dist","dist_iden",NA,NA,NA,NA,100
"76",75000,"hill",6901786.15500392,6901786.15500392,"twoopt","dist_exp",NA,NA,NA,NA,100
"77",76000,"sann",6901786.15500392,6901786.15500392,"neighbor","dist_iden",1,NA,NA,0.95,100
"78",77000,"hill",6901786.15500392,6901743.07248246,"neighbor","dist_exp",NA,NA,NA,NA,100
"79",78000,"sann",6901743.07248246,6901743.07248246,"twoopt","dist_iden",14,NA,NA,0.66,100
"80",79000,"hill",6901743.07248246,6901743.07248246,"twoopt","dist_exp",NA,NA,NA,NA,100
"81",80000,"sann",6901743.07248246,6901743.07248246,"neighbor","dist_iden",14,NA,NA,0.75,100
"82",81000,"tabu",6901743.07248246,6901696.95656219,"twoopt","dist_exp",NA,10,4,NA,100
"83",82000,"tabu",6901696.95656219,6901501.81501194,"neighbor","dist_iden",NA,10,4,NA,100
"84",83000,"sann",6901501.81501194,6901501.81501194,"neighbor","dist_exp",12,NA,NA,0.95,100
"85",84000,"hill",6901501.81501194,6901501.81501194,"reduce_max_dist","dist_iden",NA,NA,NA,NA,100
"86",85000,"sann",6901501.81501194,6901501.81501194,"twoopt","dist_iden",12,NA,NA,0.55,100
"87",86000,"hill",6901501.81501194,6901493.71496524,"neighbor","dist_exp",NA,NA,NA,NA,100
"88",87000,"tabu",6901493.71496524,6901493.71496524,"reduce_max_dist","dist_iden",NA,10,50,NA,100
"89",88000,"hill",6901493.71496524,6901464.63174011,"neighbor","dist_exp",NA,NA,NA,NA,100
"90",89000,"hill",6901464.63174011,6901464.63174011,"reduce_max_dist","dist_exp",NA,NA,NA,NA,100
"91",90000,"sann",6901464.63174011,6901464.63174011,"neighbor","dist_exp",12,NA,NA,0.85,100
"92",91000,"tabu",6901464.63174011,6901464.63174011,"twoopt","dist_iden",NA,10,50,NA,100
"93",92000,"hill",6901464.63174011,6901464.63174011,"twoopt","dist_iden",NA,NA,NA,NA,100
"94",93000,"hill",6901464.63174011,6901429.57897219,"neighbor","dist_exp",NA,NA,NA,NA,100
"95",94000,"sann",6901429.57897219,6901429.57897219,"reduce_max_dist","dist_exp",1,NA,NA,0.66,100
"96",95000,"tabu",6901429.57897219,6901429.57897219,"reduce_max_dist","dist_iden",NA,10,50,NA,100
"97",96000,"sann",6901429.57897219,6901429.57897219,"twoopt","dist_iden",1,NA,NA,0.66,100
"98",97000,"hill",6901429.57897219,6901429.57897219,"twoopt","dist_exp",NA,NA,NA,NA,100
"99",98000,"hill",6901429.57897219,6901429.57897219,"twoopt","dist_exp",NA,NA,NA,NA,100
"100",99000,"sann",6901429.57897219,6901429.57897219,"reduce_max_dist","dist_iden",16,NA,NA,0.95,100
"101",1e+05,"hill",6901429.57897219,6901429.57897219,"reduce_max_dist","dist_iden",NA,NA,NA,NA,100
"102",101000,"sann",6901429.57897219,6901429.57897219,"reduce_max_dist","dist_iden",1,NA,NA,0.99,100
"103",102000,"tabu",6901429.57897219,6901426.85110577,"neighbor","dist_exp",NA,10,10,NA,100
"104",103000,"sann",6901426.85110577,6901426.85110577,"neighbor","dist_exp",1,NA,NA,0.95,100
"105",104000,"sann",6901426.85110577,6901426.85110577,"twoopt","dist_iden",12,NA,NA,0.75,100
"106",105000,"tabu",6901426.85110577,6901426.85110577,"neighbor","dist_exp",NA,10,4,NA,100
"107",106000,"tabu",6901426.85110577,6901409.04145767,"neighbor","dist_exp",NA,10,50,NA,100
"108",107000,"hill",6901409.04145767,6901409.04145767,"neighbor","dist_iden",NA,NA,NA,NA,100
"109",108000,"hill",6901409.04145767,6901409.04145767,"neighbor","dist_iden",NA,NA,NA,NA,100
"110",109000,"sann",6901409.04145767,6901409.04145767,"reduce_max_dist","dist_iden",12,NA,NA,0.66,100
"111",110000,"tabu",6901409.04145767,6901409.04145767,"twoopt","dist_exp",NA,10,10,NA,100
"112",111000,"hill",6901409.04145767,6901409.04145767,"twoopt","dist_exp",NA,NA,NA,NA,100
"113",112000,"tabu",6901409.04145767,6901409.04145767,"twoopt","dist_exp",NA,10,50,NA,100
"114",113000,"sann",6901409.04145767,6901409.04145767,"twoopt","dist_exp",16,NA,NA,0.99,100
"115",114000,"hill",6901409.04145767,6901409.04145767,"reduce_max_dist","dist_exp",NA,NA,NA,NA,100
"116",115000,"hill",6901409.04145767,6901409.04145767,"reduce_max_dist","dist_exp",NA,NA,NA,NA,100
"117",116000,"sann",6901409.04145767,6901409.04145767,"neighbor","dist_iden",1,NA,NA,0.55,100
"118",117000,"tabu",6901409.04145767,6901409.04145767,"reduce_max_dist","dist_exp",NA,10,10,NA,100
"119",118000,"tabu",6901409.04145767,6901380.18306023,"neighbor","dist_exp",NA,10,10,NA,100
"120",119000,"tabu",6901380.18306023,6901380.18306023,"twoopt","dist_exp",NA,10,10,NA,100
"121",120000,"tabu",6901380.18306023,6901380.18306023,"neighbor","dist_exp",NA,10,50,NA,100
"122",121000,"hill",6901380.18306023,6901380.18306023,"twoopt","dist_exp",NA,NA,NA,NA,100
"123",122000,"hill",6901380.18306023,6901368.05571969,"neighbor","dist_exp",NA,NA,NA,NA,100
"124",123000,"hill",6901368.05571969,6901368.05571969,"twoopt","dist_iden",NA,NA,NA,NA,100
"125",124000,"hill",6901368.05571969,6901368.05571969,"twoopt","dist_exp",NA,NA,NA,NA,100
"126",125000,"hill",6901368.05571969,6901368.05571969,"reduce_max_dist","dist_iden",NA,NA,NA,NA,100
"127",126000,"hill",6901368.05571969,6901368.05571969,"twoopt","dist_iden",NA,NA,NA,NA,100
"128",127000,"hill",6901368.05571969,6901368.05571969,"reduce_max_dist","dist_exp",NA,NA,NA,NA,100
"129",128000,"tabu",6901368.05571969,6901337.92338616,"neighbor","dist_iden",NA,10,10,NA,100
"130",129000,"tabu",6901337.92338616,6901337.92338616,"twoopt","dist_iden",NA,10,10,NA,100
"131",130000,"hill",6901337.92338616,6901337.92338616,"twoopt","dist_exp",NA,NA,NA,NA,100
"132",131000,"tabu",6901337.92338616,6901328.60702246,"neighbor","dist_exp",NA,10,4,NA,100
"133",132000,"sann",6901328.60702246,6901328.60702246,"twoopt","dist_iden",12,NA,NA,0.95,100
"134",133000,"sann",6901328.60702246,6901328.60702246,"twoopt","dist_exp",10,NA,NA,0.99,100
"135",134000,"tabu",6901328.60702246,6901328.60702246,"twoopt","dist_iden",NA,10,10,NA,100
"136",135000,"tabu",6901328.60702246,6901328.60702246,"reduce_max_dist","dist_exp",NA,10,50,NA,100
"137",136000,"sann",6901328.60702246,6901328.60702246,"reduce_max_dist","dist_iden",6,NA,NA,0.95,100
"138",137000,"hill",6901328.60702246,6901328.60702246,"twoopt","dist_exp",NA,NA,NA,NA,100
"139",138000,"hill",6901328.60702246,6901328.60702246,"twoopt","dist_iden",NA,NA,NA,NA,100
"140",139000,"sann",6901328.60702246,6901328.60702246,"neighbor","dist_iden",6,NA,NA,0.99,100
"141",140000,"tabu",6901328.60702246,6901328.60702246,"neighbor","dist_iden",NA,10,4,NA,100
"142",141000,"sann",6901328.60702246,6901328.60702246,"neighbor","dist_exp",12,NA,NA,0.95,100
"143",142000,"hill",6901328.60702246,6901328.60702246,"twoopt","dist_iden",NA,NA,NA,NA,100
"144",143000,"tabu",6901328.60702246,6901328.60702246,"reduce_max_dist","dist_iden",NA,10,10,NA,100
"145",144000,"hill",6901328.60702246,6901328.60702246,"neighbor","dist_exp",NA,NA,NA,NA,100
"146",145000,"sann",6901328.60702246,6901328.60702246,"twoopt","dist_exp",4,NA,NA,0.99,100
"147",146000,"hill",6901328.60702246,6901328.60702246,"neighbor","dist_exp",NA,NA,NA,NA,100
"148",147000,"sann",6901328.60702246,6901328.60702246,"reduce_max_dist","dist_exp",18,NA,NA,0.95,100
"149",148000,"hill",6901328.60702246,6901328.60702246,"twoopt","dist_exp",NA,NA,NA,NA,100
"150",149000,"tabu",6901328.60702246,6901328.60702246,"reduce_max_dist","dist_exp",NA,10,4,NA,100
"151",150000,"tabu",6901328.60702246,6901328.60702246,"twoopt","dist_exp",NA,10,4,NA,100
"152",151000,"tabu",6901328.60702246,6901328.60702246,"twoopt","dist_iden",NA,10,10,NA,100
"153",152000,"tabu",6901328.60702246,6901328.60702246,"reduce_max_dist","dist_iden",NA,10,10,NA,100
"154",153000,"hill",6901328.60702246,6901328.60702246,"neighbor","dist_exp",NA,NA,NA,NA,100
"155",154000,"tabu",6901328.60702246,6901328.60702246,"neighbor","dist_exp",NA,10,4,NA,100
"156",155000,"tabu",6901328.60702246,6901328.60702246,"reduce_max_dist","dist_exp",NA,10,4,NA,100
"157",156000,"tabu",6901328.60702246,6901328.60702246,"reduce_max_dist","dist_iden",NA,10,4,NA,100
"158",157000,"hill",6901328.60702246,6901328.60702246,"twoopt","dist_iden",NA,NA,NA,NA,100
"159",158000,"tabu",6901328.60702246,6901328.60702246,"reduce_max_dist","dist_exp",NA,10,4,NA,100
"160",159000,"tabu",6901328.60702246,6901328.60702246,"reduce_max_dist","dist_iden",NA,10,50,NA,100
"161",160000,"hill",6901328.60702246,6901328.60702246,"reduce_max_dist","dist_iden",NA,NA,NA,NA,100
"162",161000,"sann",6901328.60702246,6901328.60702246,"twoopt","dist_exp",12,NA,NA,0.95,100
"163",162000,"hill",6901328.60702246,6901320.79344416,"neighbor","dist_iden",NA,NA,NA,NA,100
"164",163000,"tabu",6901320.79344416,6901320.79344416,"neighbor","dist_iden",NA,10,4,NA,100
"165",164000,"hill",6901320.79344416,6901320.79344416,"reduce_max_dist","dist_exp",NA,NA,NA,NA,100
"166",165000,"tabu",6901320.79344416,6901299.62081442,"neighbor","dist_exp",NA,10,10,NA,100
"167",166000,"hill",6901299.62081442,6901299.62081442,"reduce_max_dist","dist_iden",NA,NA,NA,NA,100
"168",167000,"sann",6901299.62081442,6901299.62081442,"reduce_max_dist","dist_iden",12,NA,NA,0.95,100
"169",168000,"hill",6901299.62081442,6901270.01443883,"neighbor","dist_iden",NA,NA,NA,NA,100
"170",169000,"hill",6901270.01443883,6901262.18776052,"neighbor","dist_exp",NA,NA,NA,NA,100
"171",170000,"tabu",6901262.18776052,6901262.18776052,"reduce_max_dist","dist_iden",NA,10,50,NA,100
"172",171000,"tabu",6901262.18776052,6901262.18776052,"twoopt","dist_exp",NA,10,10,NA,100
"173",172000,"hill",6901262.18776052,6901262.18776052,"twoopt","dist_iden",NA,NA,NA,NA,100
"174",173000,"sann",6901262.18776052,6901262.18776052,"neighbor","dist_exp",1,NA,NA,0.75,100
"175",174000,"hill",6901262.18776052,6901262.18776052,"reduce_max_dist","dist_exp",NA,NA,NA,NA,100
"176",175000,"sann",6901262.18776052,6901262.18776052,"neighbor","dist_exp",1,NA,NA,0.95,100
"177",176000,"hill",6901262.18776052,6901262.18776052,"neighbor","dist_iden",NA,NA,NA,NA,100
"178",177000,"sann",6901262.18776052,6901262.18776052,"twoopt","dist_exp",16,NA,NA,0.66,100
"179",178000,"tabu",6901262.18776052,6901262.18776052,"reduce_max_dist","dist_iden",NA,10,50,NA,100
"180",179000,"tabu",6901262.18776052,6901262.18776052,"neighbor","dist_exp",NA,10,10,NA,100
"181",180000,"tabu",6901262.18776052,6901262.18776052,"reduce_max_dist","dist_exp",NA,10,4,NA,100
"182",181000,"tabu",6901262.18776052,6901262.18776052,"twoopt","dist_iden",NA,10,10,NA,100
"183",182000,"sann",6901262.18776052,6901262.18776052,"neighbor","dist_exp",20,NA,NA,0.95,100
"184",183000,"tabu",6901262.18776052,6901262.18776052,"twoopt","dist_iden",NA,10,50,NA,100
"185",184000,"sann",6901262.18776052,6901262.18776052,"twoopt","dist_iden",12,NA,NA,0.95,100
"186",185000,"tabu",6901262.18776052,6901262.18776052,"twoopt","dist_exp",NA,10,10,NA,100
"187",186000,"sann",6901262.18776052,6901262.18776052,"twoopt","dist_iden",12,NA,NA,0.99,100
"188",187000,"tabu",6901262.18776052,6901254.84855207,"neighbor","dist_iden",NA,10,4,NA,100
"189",188000,"sann",6901254.84855207,6901254.84855207,"twoopt","dist_iden",12,NA,NA,0.75,100
"190",189000,"sann",6901254.84855207,6901254.84855207,"twoopt","dist_iden",12,NA,NA,0.99,100
"191",190000,"hill",6901254.84855207,6901253.68386813,"neighbor","dist_exp",NA,NA,NA,NA,100
"192",191000,"tabu",6901253.68386813,6901244.11394723,"neighbor","dist_exp",NA,10,4,NA,100
"193",192000,"sann",6901244.11394723,6901244.11394723,"neighbor","dist_exp",4,NA,NA,0.99,100
"194",193000,"hill",6901244.11394723,6901244.11394723,"neighbor","dist_iden",NA,NA,NA,NA,100
"195",194000,"hill",6901244.11394723,6901244.11394723,"twoopt","dist_exp",NA,NA,NA,NA,100
"196",195000,"hill",6901244.11394723,6901192.16140947,"neighbor","dist_iden",NA,NA,NA,NA,100
"197",196000,"sann",6901192.16140947,6901192.16140947,"reduce_max_dist","dist_exp",1,NA,NA,0.66,100
"198",197000,"sann",6901192.16140947,6901192.16140947,"reduce_max_dist","dist_exp",1,NA,NA,0.66,100
"199",198000,"hill",6901192.16140947,6901192.16140947,"twoopt","dist_exp",NA,NA,NA,NA,100
"200",199000,"hill",6901192.16140947,6901179.49283333,"neighbor","dist_exp",NA,NA,NA,NA,100
"201",2e+05,"tabu",6901179.49283333,6901179.49283333,"neighbor","dist_iden",NA,10,4,NA,100
"202",201000,"tabu",6901179.49283333,6901179.49283333,"reduce_max_dist","dist_exp",NA,10,4,NA,100
"203",202000,"tabu",6901179.49283333,6901179.49283333,"neighbor","dist_iden",NA,10,4,NA,100
"204",203000,"hill",6901179.49283333,6901179.49283333,"reduce_max_dist","dist_iden",NA,NA,NA,NA,100
"205",204000,"sann",6901179.49283333,6901179.49283333,"reduce_max_dist","dist_iden",1,NA,NA,0.95,100
"206",205000,"tabu",6901179.49283333,6901179.49283333,"reduce_max_dist","dist_exp",NA,10,10,NA,100
"207",206000,"sann",6901179.49283333,6901179.49283333,"reduce_max_dist","dist_exp",1,NA,NA,0.66,100
"208",207000,"tabu",6901179.49283333,6901179.49283333,"reduce_max_dist","dist_iden",NA,10,10,NA,100
"209",208000,"sann",6901179.49283333,6901160.90581044,"twoopt","dist_iden",1,NA,NA,0.95,100
"210",209000,"hill",6901160.90581044,6901156.6695973,"neighbor","dist_exp",NA,NA,NA,NA,100
"211",210000,"hill",6901156.6695973,6901156.6695973,"neighbor","dist_iden",NA,NA,NA,NA,100
"212",211000,"hill",6901156.6695973,6900862.75731293,"reduce_max_dist","dist_exp",NA,NA,NA,NA,100
"213",212000,"tabu",6900862.75731293,6900813.03495541,"twoopt","dist_exp",NA,10,4,NA,100
"214",213000,"sann",6900813.03495541,6900813.03495541,"reduce_max_dist","dist_iden",1,NA,NA,0.95,100
"215",214000,"sann",6900813.03495541,6900813.03495541,"twoopt","dist_exp",1,NA,NA,0.95,100
"216",215000,"hill",6900813.03495541,6900813.03495541,"reduce_max_dist","dist_iden",NA,NA,NA,NA,100
"217",216000,"sann",6900813.03495541,6900813.03495541,"neighbor","dist_exp",1,NA,NA,0.95,100
"218",217000,"hill",6900813.03495541,6900709.30654854,"neighbor","dist_exp",NA,NA,NA,NA,100
"219",218000,"sann",6900709.30654854,6900709.30654854,"reduce_max_dist","dist_exp",1,NA,NA,0.95,100
"220",219000,"sann",6900709.30654854,6900709.30654854,"reduce_max_dist","dist_exp",2,NA,NA,0.66,100
"221",220000,"sann",6900709.30654854,6900709.30654854,"twoopt","dist_exp",12,NA,NA,0.66,100
"222",221000,"sann",6900709.30654854,6900709.30654854,"reduce_max_dist","dist_exp",1,NA,NA,0.66,100
"223",222000,"hill",6900709.30654854,6900709.30654854,"twoopt","dist_iden",NA,NA,NA,NA,100
"224",223000,"tabu",6900709.30654854,6900699.59856578,"twoopt","dist_exp",NA,10,50,NA,100
"225",224000,"sann",6900699.59856578,6900699.59856578,"neighbor","dist_exp",1,NA,NA,0.66,100
"226",225000,"tabu",6900699.59856578,6900699.59856578,"twoopt","dist_exp",NA,10,4,NA,100
"227",226000,"tabu",6900699.59856578,6900699.59856578,"neighbor","dist_exp",NA,10,50,NA,100
"228",227000,"tabu",6900699.59856578,6900699.59856578,"reduce_max_dist","dist_exp",NA,10,4,NA,100
"229",228000,"tabu",6900699.59856578,6900699.59856578,"twoopt","dist_iden",NA,10,4,NA,100
"230",229000,"sann",6900699.59856578,6900699.59856578,"twoopt","dist_exp",1,NA,NA,0.95,100
"231",230000,"tabu",6900699.59856578,6900681.93867881,"neighbor","dist_iden",NA,10,4,NA,100
"232",231000,"tabu",6900681.93867881,6900681.93867881,"twoopt","dist_exp",NA,10,50,NA,100
"233",232000,"tabu",6900681.93867881,6900681.93867881,"twoopt","dist_iden",NA,10,4,NA,100
"234",233000,"hill",6900681.93867881,6900681.93867881,"twoopt","dist_iden",NA,NA,NA,NA,100
"235",234000,"sann",6900681.93867881,6900681.93867881,"neighbor","dist_exp",1,NA,NA,0.95,100
"236",235000,"tabu",6900681.93867881,6900681.93867881,"twoopt","dist_iden",NA,10,10,NA,100
"237",236000,"sann",6900681.93867881,6900681.93867881,"reduce_max_dist","dist_iden",12,NA,NA,0.66,100
"238",237000,"sann",6900681.93867881,6900681.93867881,"neighbor","dist_iden",1,NA,NA,0.95,100
"239",238000,"tabu",6900681.93867881,6900681.93867881,"neighbor","dist_exp",NA,10,10,NA,100
"240",239000,"hill",6900681.93867881,6900681.93867881,"reduce_max_dist","dist_exp",NA,NA,NA,NA,100
"241",240000,"tabu",6900681.93867881,6900681.93867881,"reduce_max_dist","dist_iden",NA,10,50,NA,100
"242",241000,"hill",6900681.93867881,6899800.69790304,"reduce_max_dist","dist_exp",NA,NA,NA,NA,100
"243",242000,"tabu",6899800.69790304,6899800.69790304,"neighbor","dist_iden",NA,10,50,NA,100
"244",243000,"hill",6899800.69790304,6899800.69790304,"neighbor","dist_exp",NA,NA,NA,NA,100
"245",244000,"sann",6899800.69790304,6899800.69790304,"twoopt","dist_iden",1,NA,NA,0.95,100
"246",245000,"sann",6899800.69790304,6899800.69790304,"twoopt","dist_exp",1,NA,NA,0.95,100
"247",246000,"sann",6899800.69790304,6899800.69790304,"reduce_max_dist","dist_iden",20,NA,NA,0.66,100
"248",247000,"tabu",6899800.69790304,6899800.69790304,"twoopt","dist_exp",NA,10,4,NA,100
"249",248000,"tabu",6899800.69790304,6899741.3735466,"reduce_max_dist","dist_exp",NA,10,10,NA,100
"250",249000,"sann",6899741.37354659,6899741.37354659,"reduce_max_dist","dist_iden",12,NA,NA,0.95,100
"251",250000,"hill",6899741.37354659,6899733.13036859,"neighbor","dist_exp",NA,NA,NA,NA,100
"252",251000,"sann",6899733.13036859,6899733.13036859,"neighbor","dist_iden",1,NA,NA,0.95,100
"253",252000,"hill",6899733.13036859,6899692.17844398,"neighbor","dist_iden",NA,NA,NA,NA,100
"254",253000,"tabu",6899692.17844398,6899692.17844398,"reduce_max_dist","dist_exp",NA,10,4,NA,100
"255",254000,"tabu",6899692.17844398,6899692.17844398,"reduce_max_dist","dist_iden",NA,10,10,NA,100
"256",255000,"tabu",6899692.17844398,6899692.17844398,"twoopt","dist_iden",NA,10,4,NA,100
"257",256000,"tabu",6899692.17844398,6899692.17844398,"twoopt","dist_exp",NA,10,10,NA,100
"258",257000,"sann",6899692.17844398,6899692.17844398,"twoopt","dist_iden",12,NA,NA,0.55,100
"259",258000,"sann",6899692.17844398,6899692.17844398,"twoopt","dist_exp",1,NA,NA,0.95,100
"260",259000,"hill",6899692.17844398,6899692.17844398,"reduce_max_dist","dist_iden",NA,NA,NA,NA,100
"261",260000,"sann",6899692.17844398,6899692.17844398,"reduce_max_dist","dist_exp",12,NA,NA,0.95,100
"262",261000,"tabu",6899692.17844398,6899692.17844398,"twoopt","dist_iden",NA,10,10,NA,100
"263",262000,"hill",6899692.17844398,6899692.17844398,"twoopt","dist_exp",NA,NA,NA,NA,100
